股票代號,股票名稱,持股股數_純數字,權重%,__NAV_VALUE
2330,台積電,1305000,5.71%,46819555760.0
3105,穩懋,3433000,4.4%,46819555760.0
6669,緯穎,464000,4.31%,46819555760.0
2383,台光電,438000,3.8%,46819555760.0
8996,高力,1489000,3.8%,46819555760.0
6510,精測,421000,3.78%,46819555760.0
6442,光聖,781000,3.74%,46819555760.0
6515,穎崴,150000,3.44%,46819555760.0
3037,欣興,2210000,3.38%,46819555760.0
2345,智邦,713000,3.35%,46819555760.0
3665,貿聯-KY,567000,3.09%,46819555760.0
6223,旺矽,288000,2.97%,46819555760.0
3017,奇鋐,501000,2.88%,46819555760.0
8299,群聯,708000,2.68%,46819555760.0
3533,嘉澤,466000,2.64%,46819555760.0
3163,波若威,919000,2.32%,46819555760.0
6584,南俊國際,1333000,2.29%,46819555760.0
3653,健策,192000,2.22%,46819555760.0
2059,川湖,257000,2.16%,46819555760.0
2360,致茂,485000,2.1%,46819555760.0
3443,創意,259000,2.03%,46819555760.0
7769,鴻勁,193000,1.96%,46819555760.0
8046,南電,1103000,1.89%,46819555760.0
7751,竑騰,386000,1.71%,46819555760.0
5274,信驊,45000,1.55%,46819555760.0
4749,新應材,698000,1.54%,46819555760.0
2308,台達電,356000,1.53%,46819555760.0
2408,南亞科,3265000,1.53%,46819555760.0
3661,世芯-KY,173000,1.5%,46819555760.0
3081,聯亞,229000,1.47%,46819555760.0
3529,力旺,154000,1.33%,46819555760.0
6274,台燿,633000,1.32%,46819555760.0
8358,金居,1548000,1.3%,46819555760.0
6805,富世達,297000,1.26%,46819555760.0
6531,愛普*,700000,1.18%,46819555760.0
3131,弘塑,153000,1.11%,46819555760.0
4991,環宇-KY,688000,1.02%,46819555760.0
6271,同欣電,2089000,0.83%,46819555760.0
2368,金像電,308000,0.82%,46819555760.0
8021,尖點,688920,0.66%,46819555760.0
3036,文曄,1171000,0.53%,46819555760.0
3189,景碩,484013,0.51%,46819555760.0
2454,聯發科,80000,0.39%,46819555760.0
3324,雙鴻,150000,0.37%,46819555760.0
3491,昇達科,97000,0.36%,46819555760.0
3711,日月光投控,319000,0.32%,46819555760.0
2486,一詮,567000,0.27%,46819555760.0
3260,威剛,293000,0.26%,46819555760.0
5289,宜鼎,102000,0.25%,46819555760.0
2337,旺宏,771000,0.22%,46819555760.0
2344,華邦電,889000,0.17%,46819555760.0
