股票代號,股票名稱,持股股數_純數字,權重%,__NAV_VALUE
2330,台積電,8218000,8.75%,192524213626.0
2383,台光電,3681000,7.77%,192524213626.0
3653,健策,2198000,6.18%,192524213626.0
2308,台達電,5839000,6.11%,192524213626.0
2345,智邦,4902000,5.60%,192524213626.0
3017,奇鋐,3727000,5.22%,192524213626.0
3665,貿聯-KY,3812848,5.06%,192524213626.0
2368,金像電,7389000,4.80%,192524213626.0
6223,旺矽,1720000,4.31%,192524213626.0
2454,聯發科,3194000,3.81%,192524213626.0
8046,南電,8972000,3.74%,192524213626.0
3037,欣興,9287000,3.45%,192524213626.0
5274,信驊,351000,2.93%,192524213626.0
2327,國巨*,14288000,2.34%,192524213626.0
6669,緯穎,923000,2.09%,192524213626.0
6515,穎崴,357000,1.99%,192524213626.0
3711,日月光投控,7419000,1.79%,192524213626.0
6805,富世達,1646000,1.70%,192524213626.0
6510,精測,781000,1.70%,192524213626.0
6274,台燿,3019000,1.53%,192524213626.0
2449,京元電子,10180000,1.52%,192524213626.0
3661,世芯-KY,673000,1.42%,192524213626.0
2303,聯電,29889000,1.22%,192524213626.0
8358,金居,5558000,1.14%,192524213626.0
3211,順達,3880000,0.84%,192524213626.0
2317,鴻海,6715000,0.77%,192524213626.0
3189,景碩,2862000,0.73%,192524213626.0
5439,高技,2791000,0.61%,192524213626.0
6147,頎邦,7884000,0.58%,192524213626.0
8210,勤誠,1019000,0.55%,192524213626.0
2404,漢唐,1058000,0.55%,192524213626.0
3264,欣銓,4745000,0.52%,192524213626.0
3443,創意,271000,0.52%,192524213626.0
1303,南亞,8015000,0.37%,192524213626.0
4979,華星光,1037000,0.34%,192524213626.0
8996,高力,535000,0.33%,192524213626.0
6187,萬潤,461000,0.33%,192524213626.0
6488,環球晶,949000,0.30%,192524213626.0
3583,辛耘,527000,0.23%,192524213626.0
7769,鴻勁,95000,0.23%,192524213626.0
6191,精成科,3865000,0.22%,192524213626.0
2481,強茂,3651000,0.20%,192524213626.0
3376,新日興,1561000,0.18%,192524213626.0
6415,矽力*-KY,660000,0.14%,192524213626.0
3324,雙鴻,170000,0.10%,192524213626.0
2313,華通,764000,0.10%,192524213626.0
3217,優群,780000,0.07%,192524213626.0
2002,中鋼,5160000,0.05%,192524213626.0
3008,大立光,15000,0.02%,192524213626.0
1319,東陽,508000,0.02%,192524213626.0
1815,富喬,107000,0.01%,192524213626.0
2357,華碩,15000,0.00%,192524213626.0
2439,美律,15000,0.00%,192524213626.0
5347,世界,61000,0.00%,192524213626.0
