股票代號,股票名稱,持股股數_純數字,權重%,__NAV_VALUE
2330,台積電,1468000,7.8%,38591181697.0
5536,聖暉*,3355000,7.79%,38591181697.0
3105,穩懋,3946000,6.14%,38591181697.0
6669,緯穎,461000,5.2%,38591181697.0
2383,台光電,457000,4.81%,38591181697.0
2360,致茂,855000,4.5%,38591181697.0
3264,欣銓,8078000,4.4%,38591181697.0
6139,亞翔,2278000,4.26%,38591181697.0
2345,智邦,719000,4.1%,38591181697.0
3017,奇鋐,538000,3.76%,38591181697.0
2308,台達電,690000,3.6%,38591181697.0
6223,旺矽,276000,3.45%,38591181697.0
2454,聯發科,563000,3.35%,38591181697.0
6257,矽格,6338000,3.06%,38591181697.0
6805,富世達,501000,2.58%,38591181697.0
3491,昇達科,539000,2.4%,38591181697.0
6147,頎邦,6546000,2.4%,38591181697.0
4958,臻鼎-KY,2654000,2.17%,38591181697.0
6285,啟碁,3000000,1.88%,38591181697.0
1785,光洋科,4611000,1.87%,38591181697.0
2467,志聖,1179000,1.82%,38591181697.0
6510,精測,121000,1.32%,38591181697.0
8996,高力,373000,1.16%,38591181697.0
2059,川湖,106000,1.08%,38591181697.0
6488,環球晶,683000,1.06%,38591181697.0
3030,德律,1135000,1.05%,38591181697.0
2404,漢唐,368000,0.95%,38591181697.0
3211,順達,780000,0.84%,38591181697.0
5289,宜鼎,274000,0.83%,38591181697.0
3583,辛耘,370000,0.81%,38591181697.0
2347,聯強,3693000,0.8%,38591181697.0
3131,弘塑,89000,0.78%,38591181697.0
3533,嘉澤,111000,0.76%,38591181697.0
2313,華通,1033000,0.66%,38591181697.0
2303,聯電,3045000,0.62%,38591181697.0
2472,立隆電,1210000,0.58%,38591181697.0
6274,台燿,223000,0.56%,38591181697.0
2368,金像電,155000,0.5%,38591181697.0
3711,日月光投控,349000,0.42%,38591181697.0
3665,貿聯-KY,58136,0.38%,38591181697.0
6691,洋基工程,159000,0.28%,38591181697.0
4938,和碩,1236000,0.27%,38591181697.0
5274,信驊,6000,0.25%,38591181697.0
3529,力旺,23000,0.24%,38591181697.0
8046,南電,103000,0.21%,38591181697.0
6177,達麗,1784350,0.21%,38591181697.0
3376,新日興,355000,0.2%,38591181697.0
2885,元大金,1102420,0.14%,38591181697.0
8464,億豐,142000,0.14%,38591181697.0
1319,東陽,355000,0.07%,38591181697.0
4441,振大環球,59000,0.03%,38591181697.0
2548,華固,29600,0.01%,38591181697.0
3443,創意,1000,0.01%,38591181697.0
1519,華城,600,0%,38591181697.0
8358,金居,1000,0%,38591181697.0
3706,神達,1400,0%,38591181697.0
2886,兆豐金,1000,0%,38591181697.0
2881,富邦金,250,0%,38591181697.0
