股票代號,股票名稱,持股股數_純數字,權重%,__NAV_VALUE
2330,台積電,9113000.0,9.49,199665627940.0
2383,台光電,3904000.0,8.02,199665627940.0
3653,健策,2267000.0,6.03,199665627940.0
2308,台達電,6024000.0,5.97,199665627940.0
3665,貿聯-KY,3933848.0,5.43,199665627940.0
2345,智邦,5057000.0,5.27,199665627940.0
3017,奇鋐,3845000.0,5.16,199665627940.0
2368,金像電,7389000.0,4.68,199665627940.0
6223,旺矽,1774000.0,4.26,199665627940.0
8046,南電,9256000.0,3.69,199665627940.0
2454,聯發科,3295000.0,3.66,199665627940.0
3037,欣興,9287000.0,3.39,199665627940.0
5274,信驊,351000.0,2.75,199665627940.0
2327,國巨*,14288000.0,2.11,199665627940.0
6669,緯穎,952000.0,2.03,199665627940.0
6515,穎崴,368000.0,1.98,199665627940.0
3711,日月光投控,7654000.0,1.78,199665627940.0
6805,富世達,1698000.0,1.62,199665627940.0
6510,精測,781000.0,1.51,199665627940.0
2449,京元電子,10503000.0,1.46,199665627940.0
6274,台燿,3019000.0,1.44,199665627940.0
3661,世芯-KY,694000.0,1.38,199665627940.0
2303,聯電,30837000.0,1.14,199665627940.0
8358,金居,5558000.0,1.03,199665627940.0
2317,鴻海,6927000.0,0.78,199665627940.0
3189,景碩,2952000.0,0.71,199665627940.0
8210,勤誠,1051000.0,0.58,199665627940.0
5439,高技,2880000.0,0.54,199665627940.0
3443,創意,271000.0,0.53,199665627940.0
6147,頎邦,7884000.0,0.53,199665627940.0
2404,漢唐,1091000.0,0.53,199665627940.0
3264,欣銓,4896000.0,0.48,199665627940.0
8996,高力,535000.0,0.32,199665627940.0
7769,鴻勁,97000.0,0.23,199665627940.0
6191,精成科,3985000.0,0.21,199665627940.0
3211,順達,916000.0,0.18,199665627940.0
2481,強茂,3651000.0,0.18,199665627940.0
3376,新日興,1561000.0,0.17,199665627940.0
6415,矽力*-KY,660000.0,0.14,199665627940.0
4966,譜瑞-KY,370000.0,0.11,199665627940.0
6488,環球晶,332000.0,0.1,199665627940.0
3324,雙鴻,170000.0,0.09,199665627940.0
2313,華通,764000.0,0.09,199665627940.0
3217,優群,780000.0,0.07,199665627940.0
1303,南亞,1373000.0,0.06,199665627940.0
2002,中鋼,5160000.0,0.05,199665627940.0
3583,辛耘,57000.0,0.03,199665627940.0
1319,東陽,508000.0,0.02,199665627940.0
1815,富喬,107000.0,0.01,199665627940.0
2357,華碩,15000.0,0.0,199665627940.0
2439,美律,15000.0,0.0,199665627940.0
4979,華星光,1000.0,0.0,199665627940.0
5347,世界,61000.0,0.0,199665627940.0
_CASH,💎 現金,13430699146.0,6.73,199665627940.0
_GDM,💎 期貨保證金,500128241.0,0.25,199665627940.0
_PAY,💎 申贖應付款,0.0,0.0,199665627940.0
_APAR,💎 應收付證券款,-9019688905.0,-4.52,199665627940.0
