股票代號,股票名稱,持股股數_純數字,權重%,__NAV_VALUE
5536,聖暉*,3355000,8.43%,37780012337.0
2330,台積電,1468000,8.08%,37780012337.0
3105,穩懋,3946000,5.85%,37780012337.0
6669,緯穎,461000,5.19%,37780012337.0
2383,台光電,457000,4.96%,37780012337.0
6139,亞翔,2278000,4.29%,37780012337.0
2360,致茂,828000,4.25%,37780012337.0
3264,欣銓,8078000,4.22%,37780012337.0
2345,智邦,719000,3.96%,37780012337.0
3017,奇鋐,538000,3.82%,37780012337.0
2308,台達電,690000,3.62%,37780012337.0
6223,旺矽,276000,3.5%,37780012337.0
2454,聯發科,563000,3.3%,37780012337.0
6257,矽格,6338000,3.04%,37780012337.0
6805,富世達,501000,2.53%,37780012337.0
6147,頎邦,6546000,2.32%,37780012337.0
4958,臻鼎-KY,2654000,2.28%,37780012337.0
3491,昇達科,539000,2.21%,37780012337.0
1785,光洋科,4611000,1.76%,37780012337.0
6285,啟碁,3000000,1.73%,37780012337.0
2467,志聖,1199000,1.71%,37780012337.0
6510,精測,121000,1.23%,37780012337.0
8996,高力,373000,1.19%,37780012337.0
6488,環球晶,683000,1.03%,37780012337.0
2059,川湖,106000,1.01%,37780012337.0
2303,聯電,5045000,0.98%,37780012337.0
3030,德律,1135000,0.97%,37780012337.0
2404,漢唐,368000,0.95%,37780012337.0
3583,辛耘,370000,0.87%,37780012337.0
3211,順達,780000,0.81%,37780012337.0
2347,聯強,3693000,0.8%,37780012337.0
5289,宜鼎,274000,0.8%,37780012337.0
3131,弘塑,89000,0.74%,37780012337.0
3533,嘉澤,111000,0.72%,37780012337.0
2313,華通,1033000,0.61%,37780012337.0
6274,台燿,223000,0.56%,37780012337.0
2472,立隆電,1210000,0.55%,37780012337.0
2368,金像電,155000,0.52%,37780012337.0
3711,日月光投控,349000,0.43%,37780012337.0
3665,貿聯-KY,58136,0.42%,37780012337.0
6691,洋基工程,159000,0.28%,37780012337.0
4938,和碩,1236000,0.27%,37780012337.0
5274,信驊,6000,0.25%,37780012337.0
3529,力旺,23000,0.24%,37780012337.0
6177,達麗,1784350,0.22%,37780012337.0
8046,南電,103000,0.22%,37780012337.0
3376,新日興,355000,0.2%,37780012337.0
2885,元大金,1102420,0.15%,37780012337.0
8464,億豐,142000,0.14%,37780012337.0
1319,東陽,355000,0.07%,37780012337.0
4441,振大環球,59000,0.03%,37780012337.0
3443,創意,1000,0.01%,37780012337.0
2548,華固,29600,0.01%,37780012337.0
1519,華城,600,0%,37780012337.0
8358,金居,1000,0%,37780012337.0
3706,神達,1400,0%,37780012337.0
2886,兆豐金,1000,0%,37780012337.0
2881,富邦金,250,0%,37780012337.0
